"line","period","fishery","total_before","total_after","removed_count","action"
5014,"1994Q1",22,2929,2922,7,"zero_bins_midpoint_gt90"
5015,"1994Q2",22,3110,3106,4,"zero_bins_midpoint_gt90"
5016,"1994Q3",22,2366,2366,0,"unchanged"
5026,"1997Q1",22,301,297,4,"zero_bins_midpoint_gt90"
5027,"1997Q2",22,491,487,4,"zero_bins_midpoint_gt90"
5028,"1997Q3",22,539,469,70,"zero_bins_midpoint_gt90"
5029,"1997Q4",22,4,2,2,"zero_bins_midpoint_gt90"
5030,"1998Q1",22,12,7,5,"zero_bins_midpoint_gt90"
5031,"1998Q2",22,446,438,8,"zero_bins_midpoint_gt90"
5032,"1998Q3",22,532,530,2,"zero_bins_midpoint_gt90"
5033,"1998Q4",22,18,18,0,"unchanged"
5034,"1999Q1",22,415,380,35,"zero_bins_midpoint_gt90"
5035,"1999Q2",22,314,310,4,"zero_bins_midpoint_gt90"
5038,"2000Q1",22,227,227,0,"unchanged"
5039,"2000Q2",22,601,597,4,"zero_bins_midpoint_gt90"
5040,"2000Q3",22,431,423,8,"zero_bins_midpoint_gt90"
5041,"2000Q4",22,330,321,9,"zero_bins_midpoint_gt90"
5042,"2001Q1",22,339,312,27,"zero_bins_midpoint_gt90"
5043,"2001Q2",22,394,373,21,"zero_bins_midpoint_gt90"
5044,"2001Q3",22,264,250,14,"zero_bins_midpoint_gt90"
5045,"2001Q4",22,68,67,1,"zero_bins_midpoint_gt90"
5046,"2002Q1",22,28,27,1,"zero_bins_midpoint_gt90"
5047,"2002Q2",22,47,43,4,"zero_bins_midpoint_gt90"
5050,"2003Q1",22,36,35,1,"zero_bins_midpoint_gt90"
5051,"2003Q2",22,344,311,33,"zero_bins_midpoint_gt90"
5052,"2003Q3",22,404,337,67,"zero_bins_midpoint_gt90"
5053,"2003Q4",22,136,125,11,"zero_bins_midpoint_gt90"
5054,"2004Q1",22,20,20,0,"unchanged"
5055,"2004Q2",22,16,16,0,"unchanged"
5056,"2004Q3",22,21,21,0,"unchanged"
5057,"2004Q4",22,18,18,0,"unchanged"
5058,"2005Q1",22,1117,1115,2,"zero_bins_midpoint_gt90"
5059,"2005Q2",22,1792,1773,19,"zero_bins_midpoint_gt90"
5060,"2005Q3",22,1261,1227,34,"zero_bins_midpoint_gt90"
5061,"2005Q4",22,120,112,8,"zero_bins_midpoint_gt90"
5062,"2006Q1",22,622,622,0,"unchanged"
5063,"2006Q2",22,568,557,11,"zero_bins_midpoint_gt90"
5064,"2006Q3",22,1715,1709,6,"zero_bins_midpoint_gt90"
5065,"2006Q4",22,631,623,8,"zero_bins_midpoint_gt90"
5066,"2007Q1",22,898,880,18,"zero_bins_midpoint_gt90"
5067,"2007Q2",22,833,832,1,"zero_bins_midpoint_gt90"
5068,"2007Q3",22,760,755,5,"zero_bins_midpoint_gt90"
5069,"2007Q4",22,124,124,0,"unchanged"
5070,"2008Q1",22,125,114,11,"zero_bins_midpoint_gt90"
5071,"2008Q2",22,174,145,29,"zero_bins_midpoint_gt90"
5072,"2008Q3",22,161,133,28,"zero_bins_midpoint_gt90"
5073,"2008Q4",22,70,66,4,"zero_bins_midpoint_gt90"
5074,"2009Q1",22,43,39,4,"zero_bins_midpoint_gt90"
5075,"2009Q2",22,195,179,16,"zero_bins_midpoint_gt90"
5076,"2009Q3",22,170,165,5,"zero_bins_midpoint_gt90"
5077,"2009Q4",22,886,832,54,"zero_bins_midpoint_gt90"
5078,"2010Q1",22,1257,1132,125,"zero_bins_midpoint_gt90"
5079,"2010Q2",22,440,412,28,"zero_bins_midpoint_gt90"
5080,"2010Q3",22,1135,1112,23,"zero_bins_midpoint_gt90"
5081,"2010Q4",22,2138,2123,15,"zero_bins_midpoint_gt90"
5082,"2011Q1",22,2036,2023,13,"zero_bins_midpoint_gt90"
5083,"2011Q2",22,1708,1693,15,"zero_bins_midpoint_gt90"
5084,"2011Q3",22,794,688,106,"zero_bins_midpoint_gt90"
5085,"2011Q4",22,943,900,43,"zero_bins_midpoint_gt90"
5086,"2012Q1",22,816,726,90,"zero_bins_midpoint_gt90"
5087,"2012Q2",22,886,820,66,"zero_bins_midpoint_gt90"
5088,"2012Q3",22,1215,1198,17,"zero_bins_midpoint_gt90"
5089,"2012Q4",22,561,499,62,"zero_bins_midpoint_gt90"
5090,"2013Q1",22,925,896,29,"zero_bins_midpoint_gt90"
5091,"2013Q2",22,698,681,17,"zero_bins_midpoint_gt90"
5092,"2013Q3",22,983,956,27,"zero_bins_midpoint_gt90"
5093,"2013Q4",22,1257,1187,70,"zero_bins_midpoint_gt90"
5094,"2014Q1",22,351,254,97,"zero_bins_midpoint_gt90"
5095,"2014Q2",22,1755,1584,171,"zero_bins_midpoint_gt90"
5096,"2014Q3",22,3594,3471,123,"zero_bins_midpoint_gt90"
5097,"2014Q4",22,2785,2776,9,"zero_bins_midpoint_gt90"
5098,"2015Q1",22,357,311,46,"zero_bins_midpoint_gt90"
5099,"2015Q2",22,968,871,97,"zero_bins_midpoint_gt90"
5100,"2015Q3",22,1879,1446,433,"zero_bins_midpoint_gt90"
5101,"2015Q4",22,802,664,138,"zero_bins_midpoint_gt90"
5102,"2016Q1",22,660,547,113,"zero_bins_midpoint_gt90"
5103,"2016Q2",22,1365,1038,327,"zero_bins_midpoint_gt90"
5104,"2016Q3",22,1897,1872,25,"zero_bins_midpoint_gt90"
5105,"2016Q4",22,762,760,2,"zero_bins_midpoint_gt90"
5106,"2017Q1",22,931,917,14,"zero_bins_midpoint_gt90"
5107,"2017Q2",22,1541,1475,66,"zero_bins_midpoint_gt90"
5108,"2017Q3",22,2024,1893,131,"zero_bins_midpoint_gt90"
5109,"2017Q4",22,887,768,119,"zero_bins_midpoint_gt90"
5110,"2018Q1",22,501,434,67,"zero_bins_midpoint_gt90"
5111,"2018Q2",22,595,514,81,"zero_bins_midpoint_gt90"
5112,"2018Q3",22,314,281,33,"zero_bins_midpoint_gt90"
5113,"2018Q4",22,173,166,7,"zero_bins_midpoint_gt90"
5114,"2019Q1",22,309,284,25,"zero_bins_midpoint_gt90"
5115,"2019Q2",22,738,643,95,"zero_bins_midpoint_gt90"
5116,"2019Q3",22,638,606,32,"zero_bins_midpoint_gt90"
5117,"2019Q4",22,943,886,57,"zero_bins_midpoint_gt90"
5118,"2020Q1",22,690,586,104,"zero_bins_midpoint_gt90"
5119,"2020Q2",22,2267,2053,214,"zero_bins_midpoint_gt90"
5120,"2020Q3",22,1366,1247,119,"zero_bins_midpoint_gt90"
5121,"2020Q4",22,353,342,11,"zero_bins_midpoint_gt90"
5122,"2021Q1",22,707,524,183,"zero_bins_midpoint_gt90"
5123,"2021Q2",22,799,654,145,"zero_bins_midpoint_gt90"
5124,"2021Q3",22,1263,1104,159,"zero_bins_midpoint_gt90"
5125,"2021Q4",22,811,682,129,"zero_bins_midpoint_gt90"
5126,"2022Q1",22,451,408,43,"zero_bins_midpoint_gt90"
5127,"2022Q2",22,487,430,57,"zero_bins_midpoint_gt90"
5128,"2022Q3",22,1005,837,168,"zero_bins_midpoint_gt90"
5129,"2022Q4",22,1080,929,151,"zero_bins_midpoint_gt90"
5130,"2023Q1",22,459,447,12,"zero_bins_midpoint_gt90"
5131,"2023Q2",22,1053,878,175,"zero_bins_midpoint_gt90"
5132,"2023Q3",22,1361,1208,153,"zero_bins_midpoint_gt90"
5133,"2023Q4",22,1483,1392,91,"zero_bins_midpoint_gt90"
5134,"2024Q1",22,2451,2449,2,"zero_bins_midpoint_gt90"
5135,"2024Q2",22,3270,3251,19,"zero_bins_midpoint_gt90"
5136,"2024Q3",22,1383,1337,46,"zero_bins_midpoint_gt90"
5184,"2011Q3",23,418,418,0,"unchanged"
5185,"2011Q4",23,1030,1028,2,"zero_bins_midpoint_gt90"
5186,"2012Q1",23,532,532,0,"unchanged"
5187,"2012Q2",23,1284,1276,8,"zero_bins_midpoint_gt90"
5188,"2012Q3",23,2321,2321,0,"unchanged"
5189,"2012Q4",23,2525,2525,0,"unchanged"
5190,"2013Q1",23,1979,1973,6,"zero_bins_midpoint_gt90"
5191,"2013Q2",23,2743,2613,130,"zero_bins_midpoint_gt90"
5192,"2013Q3",23,2739,2707,32,"zero_bins_midpoint_gt90"
5193,"2013Q4",23,1513,1511,2,"zero_bins_midpoint_gt90"
5194,"2014Q1",23,1149,1032,117,"zero_bins_midpoint_gt90"
5195,"2014Q2",23,2552,2364,188,"zero_bins_midpoint_gt90"
5196,"2014Q3",23,2210,1872,338,"zero_bins_midpoint_gt90"
5202,"2016Q1",23,3933,3785,148,"zero_bins_midpoint_gt90"
5203,"2016Q2",23,5002,4776,226,"zero_bins_midpoint_gt90"
5204,"2016Q3",23,3445,3230,215,"zero_bins_midpoint_gt90"
5205,"2016Q4",23,3629,3465,164,"zero_bins_midpoint_gt90"
5206,"2017Q1",23,2944,2908,36,"zero_bins_midpoint_gt90"
5207,"2017Q2",23,4099,4028,71,"zero_bins_midpoint_gt90"
5208,"2017Q3",23,3136,3117,19,"zero_bins_midpoint_gt90"
5216,"2019Q3",23,963,963,0,"unchanged"
